Bloom filter size (MiB);Block size (bytes);bits to sort;Probe size;Hash time (ms);Sort time (ms);Probe time (ms);Total throughput
1;128;1;268435456;124.307;152.901;54.816;764062045
1;128;2;268435456;10.2395;30.4484;15.3425;3915133400
1;128;3;268435456;10.2398;30.8237;15.1121;3904674687
1;128;4;268435456;10.2204;31.5193;14.9614;3875019839
1;128;5;268435456;10.2474;32.931;15.3733;3774251116
1;128;6;268435456;10.2351;35.6687;15.427;3633750777
1;128;7;268435456;10.2328;75.9025;15.4261;2352446295
1;128;8;268435456;10.2288;66.0807;15.4368;2573147672
1;128;9;268435456;10.2359;66.5406;15.4207;2562905234
1;128;10;268435456;10.2379;67.1164;15.3562;2549909841
1;128;11;268435456;10.2386;68.501;15.3216;2513917768
1;128;12;268435456;10.2799;71.1485;15.3152;2456488579
1;128;13;268435456;10.2758;111.602;15.2927;1792660038
1;128;14;268435456;10.2611;151.751;15.2868;1414100538
1;128;15;268435456;10.2652;102.177;15.2867;1913318890
1;128;16;268435456;10.2911;102.788;15.285;1904911074
1;128;17;268435456;10.2891;104.017;15.285;1888735626
1;128;18;268435456;10.2651;106.822;15.295;1851896020
1;128;19;268435456;10.287;147.122;15.2849;1449313916
1;128;20;268435456;10.2912;187.301;15.287;1190857631
1;128;21;268435456;10.2818;227.542;15.2862;1010353269
1;128;22;268435456;10.2616;138.617;15.2937;1518719283
1;128;23;268435456;10.2788;139.908;15.2922;1507838454
1;128;24;268435456;10.285;142.445;15.2908;1486633968
1;128;25;268435456;10.2837;182.616;15.2921;1215992260
1;128;26;268435456;10.2754;222.975;15.2915;1028150696
1;128;27;268435456;10.2754;263.164;15.2893;890955756
1;128;28;268435456;10.276;303.264;15.2895;786343889
1;128;29;268435456;10.2682;175.374;15.2951;1257312087
1;128;30;268435456;10.2803;178.206;15.2924;1240995792
1;128;31;268435456;10.2684;218.545;15.2899;1045894445
1;128;32;268435456;10.2735;258.711;15.2876;904386679
2;128;1;268435456;11.8021;29.9219;16.2102;3809002890
2;128;2;268435456;10.2785;30.4766;15.5666;3896831053
2;128;3;268435456;10.2771;30.8078;15.383;3889850506
2;128;4;268435456;10.2765;31.4929;15.1431;3862836376
2;128;5;268435456;10.2718;32.8528;15.0004;3797094511
2;128;6;268435456;10.2795;35.6134;15.4097;3634906497
2;128;7;268435456;10.2855;75.7501;15.4735;2353641770
2;128;8;268435456;10.2867;66.2045;15.4625;2568555270
2;128;9;268435456;10.2812;66.3306;15.4895;2564936203
2;128;10;268435456;10.2716;67.1002;15.4596;2547033650
2;128;11;268435456;10.2677;68.4578;15.3859;2516341535
2;128;12;268435456;10.2707;71.4073;15.3171;2450009242
2;128;13;268435456;10.274;111.566;15.2852;1793221630
2;128;14;268435456;11.8196;150.72;15.3788;1409344484
2;128;15;268435456;10.2726;102.156;15.2326;1914479347
2;128;16;268435456;10.2715;102.722;15.241;1906605981
2;128;17;268435456;10.2677;103.939;15.2417;1889979713
2;128;18;268435456;10.2857;106.986;15.2427;1850454200
2;128;19;268435456;10.2843;147.286;15.2409;1448219736
2;128;20;268435456;10.2868;187.395;15.2328;1190620342
2;128;21;268435456;10.2764;227.52;15.2419;1010709870
2;128;22;268435456;10.3045;138.309;15.2628;1521431902
2;128;23;268435456;10.3012;139.574;15.2635;1510830009
2;128;24;268435456;10.3149;142.355;15.272;1487316873
2;128;25;268435456;10.2971;182.64;15.2709;1215942281
2;128;26;268435456;10.3112;222.864;15.2663;1028598173
2;128;27;268435456;11.8153;262.227;15.2736;889247243
