Bloom filter size (MiB); Block size (bytes); bits to sort; Probe size ; Hash time (ms); Sort time (ms); Probe time (ms); Total throughput
1;128;1;32;0.080026;0.076807;0.486731;43850
1;128;2;32;0.074335;0.074342;0.486048;45785
1;128;3;32;0.074492;0.070471;0.486239;46036
1;128;4;32;0.075569;0.070605;0.485802;46097
1;128;5;32;0.076517;0.070784;0.486648;45910
1;128;6;32;0.074608;0.070581;0.501817;45147
1;128;7;32;0.07506;0.113413;0.4858;43417
1;128;8;32;0.074123;0.113696;0.485932;43536
1;128;9;32;0.075754;0.113778;0.487484;43271
1;128;10;32;0.075938;0.114269;0.486404;43199
1;128;11;32;0.075625;0.113288;0.48597;43364
1;128;12;32;0.074313;0.114047;0.485757;43513
1;128;13;32;0.088206;0.156675;0.485284;40422
1;128;14;32;0.073804;0.157449;0.485457;41180
1;128;15;32;0.075995;0.157164;0.486405;40928
1;128;16;32;0.076303;0.157769;0.486056;40918
1;128;17;32;0.076278;0.156774;0.486438;41004
1;128;18;32;0.075285;0.156791;0.493883;40101
1;128;19;32;0.073104;0.200623;0.486064;38830
1;128;20;32;0.117317;0.200517;0.489292;36815
1;128;21;32;0.075286;0.200619;0.486973;38782
1;128;22;32;0.074603;0.200601;0.485838;38931
1;128;23;32;0.07509;0.2005;0.486402;38829
1;128;24;32;0.076639;0.200934;0.485542;38804
1;128;25;32;0.074677;0.244376;0.485284;36892
1;128;26;32;0.074046;0.243779;0.497279;36522
1;128;27;32;0.07516;0.244697;0.485248;36892
1;128;28;32;0.098604;0.244241;0.485753;35959
1;128;29;32;0.075294;0.244215;0.48732;36810
1;128;30;32;0.075293;0.244292;0.486619;36861
1;128;31;32;0.102007;0.287456;0.485852;34129
1;128;32;32;0.074516;0.287513;0.48588;35179
2;128;1;32;0.074766;0.070859;0.487201;46066
2;128;2;32;0.074957;0.070281;0.486274;46126
2;128;3;32;0.105026;0.070113;0.485172;44219
2;128;4;32;0.074808;0.070168;0.486294;46090
2;128;5;32;0.074637;0.070744;0.487052;46065
2;128;6;32;0.074583;0.072694;0.488903;45799
2;128;7;32;0.115728;0.11405;0.486877;41057
2;128;8;32;0.073451;0.114166;0.485342;43522
2;128;9;32;0.073546;0.113776;0.485963;43500
2;128;10;32;0.074544;0.113818;0.485684;43479
2;128;11;32;0.074781;0.113371;0.48631;43414
2;128;12;32;0.074644;0.114288;0.485554;43397
2;128;13;32;0.074992;0.156812;0.485109;41048
2;128;14;32;0.074677;0.15733;0.486841;40986
2;128;15;32;0.111221;0.157541;0.485886;39134
2;128;16;32;0.075638;0.157081;0.495801;40429
2;128;17;32;0.07548;0.157128;0.487188;40919
2;128;18;32;0.072785;0.157476;0.527424;33395
2;128;19;32;0.070946;0.20987;0.509214;35597
2;128;20;32;0.074221;0.209831;0.51083;35671
2;128;21;32;0.070467;0.21012;0.508583;35899
2;128;22;32;0.069661;0.20852;0.507191;35793
2;128;23;32;0.071461;0.209295;0.499047;37191
2;128;24;32;0.073661;0.207348;0.496908;37321
2;128;25;32;0.071805;0.248447;0.496933;35455
2;128;26;32;0.072995;0.248621;0.4983;35511
2;128;27;32;0.073379;0.246016;0.489261;36494
2;128;28;32;0.025238;0.247148;0.49007;38088
2;128;29;32;0.024299;0.246481;0.489261;38307
2;128;30;32;0.024098;0.246733;0.489789;38252
