Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
3.97084e+11|3.97079e+12|119.892|3.9693e+12|1.43262e+12|0|0|0|34359738368|5695563904|5695563904|343597312|1|4294967296|0|16384|16777216|1|4|0|0
4.42423e+11|4.42418e+12|133.582|4.42299e+12|2.56019e+12|0|0|0|34359738368|17486541440|17486541440|343597312|1|2147483648|0|16384|16777216|1|4|0|0
4.22329e+11|4.22324e+12|127.515|4.22152e+12|3.11501e+12|0|0|0|34359738368|26429633792|26429633792|343597312|1|1073741824|0|16384|16777216|1|4|0|0
3.15845e+11|3.15841e+12|95.3639|3.15657e+12|2.62974e+12|0|0|0|34359738368|27106818432|27106818432|343597312|1|536870912|0|16384|16777216|1|4|0|0
2.17119e+11|2.17115e+12|65.5553|2.16951e+12|1.71702e+12|0|0|0|34359738368|18333002112|18333002112|343597312|1|268435456|0|16384|16777216|1|4|0|0
1.25345e+11|1.2534e+12|37.8456|1.25181e+12|8.2101e+11|0|0|0|34359738368|8471689216|8471689216|343597312|1|134217728|0|16384|16777216|1|4|0|0
8.3627e+10|8.36228e+11|25.2497|8.35058e+11|4.46477e+11|0|0|0|34359738368|4448263296|4448263296|343597312|1|67108864|0|16384|16777216|1|4|0|0
5.11713e+10|5.11672e+11|15.4503|5.10596e+11|1.56175e+11|0|0|0|34359738368|978323712|978323712|343597312|1|33554432|0|16384|16777216|1|4|0|0
4.94778e+10|4.94736e+11|14.939|4.93419e+11|9.07599e+10|0|0|0|34359738368|452587136|452587136|343597312|1|16777216|0|16384|16777216|1|4|0|0
4.49794e+10|4.49752e+11|13.5807|4.48701e+11|1.34016e+11|0|0|0|34359738368|1072679680|1072679680|343597312|1|8388608|0|16384|16777216|1|4|0|0
4.11685e+11|4.1168e+12|124.301|4.11516e+12|1.31321e+12|6.10535e+11|0|0|34359738368|5695563904|5695563904|343597312|1|4294967296|50|16384|16777216|1|4|0|0
2.80757e+11|2.80753e+12|84.7697|2.80605e+12|5.1022e+11|1.33352e+11|0|0|34359738368|1283129728|1283129728|343597312|1|2147483648|50|16384|16777216|1|4|0|0
3.14804e+11|3.148e+12|95.0497|3.14667e+12|9.75507e+11|6.513e+11|0|0|34359738368|6206386816|6206386816|343597312|1|1073741824|50|16384|16777216|1|4|0|0
2.26286e+11|2.26281e+12|68.3231|2.26132e+12|3.8811e+11|1.1207e+11|0|0|34359738368|1082917632|1082917632|343597312|1|536870912|50|16384|16777216|1|4|0|0
3.492e+11|3.49195e+12|105.435|3.49042e+12|1.41879e+12|1.66583e+12|0|0|34359738368|17033825664|17033825664|343597312|1|268435456|50|16384|16777216|1|4|0|0
1.61416e+11|1.61412e+12|48.7369|1.61256e+12|5.85594e+11|6.57569e+11|0|0|34359738368|6162444800|6162444800|343597312|1|134217728|50|16384|16777216|1|4|0|0
1.28266e+11|1.28261e+12|38.7275|1.28149e+12|4.30448e+11|4.82755e+11|0|0|34359738368|4448263296|4448263296|343597312|1|67108864|50|16384|16777216|1|4|0|0
6.04367e+10|6.04328e+11|18.2478|6.03281e+11|1.53227e+11|1.01122e+11|0|0|34359738368|978323712|978323712|343597312|1|33554432|50|16384|16777216|1|4|0|0
4.84808e+10|4.84767e+11|14.6379|4.836e+11|8.57864e+10|4.93452e+10|0|0|34359738368|425607168|425607168|343597312|1|16777216|50|16384|16777216|1|4|0|0
5.16897e+10|5.16854e+11|15.6068|5.1538e+11|7.04684e+10|4.20706e+10|0|0|34359738368|352834688|352834688|343597312|1|8388608|50|16384|16777216|1|4|0|0
4.89182e+11|4.89177e+12|147.7|4.89009e+12|1.45369e+12|2.00112e+12|0|0|34359738368|9921587456|9921587456|343597312|1|4294967296|100|16384|16777216|1|4|0|0
2.82146e+11|2.82142e+12|85.1891|2.81993e+12|4.95141e+11|2.57664e+11|0|0|34359738368|1283129728|1283129728|343597312|1|2147483648|100|16384|16777216|1|4|0|0
4.81179e+11|4.81174e+12|145.283|4.81012e+12|1.2603e+12|2.3436e+12|0|0|34359738368|11891007872|11891007872|343597312|1|1073741824|100|16384|16777216|1|4|0|0
2.28e+11|2.27996e+12|68.8406|2.27848e+12|3.77445e+11|2.17296e+11|0|0|34359738368|1082917632|1082917632|343597312|1|536870912|100|16384|16777216|1|4|0|0
2.67909e+11|2.67904e+12|80.8902|2.67751e+12|6.28751e+11|1.26069e+12|0|0|34359738368|6015212928|6015212928|343597312|1|268435456|100|16384|16777216|1|4|0|0
2.25305e+11|2.253e+12|68.0268|2.25144e+12|5.78999e+11|1.29591e+12|0|0|34359738368|6162444800|6162444800|343597312|1|134217728|100|16384|16777216|1|4|0|0
8.56572e+10|8.56536e+11|25.8627|8.55036e+11|2.01488e+11|2.83235e+11|0|0|34359738368|1394767232|1394767232|343597312|1|67108864|100|16384|16777216|1|4|0|0
8.09389e+10|8.09348e+11|24.4381|8.07918e+11|1.85047e+11|2.68303e+11|0|0|34359738368|1355608064|1355608064|343597312|1|33554432|100|16384|16777216|1|4|0|0
5.25175e+10|5.25133e+11|15.8567|5.24058e+11|8.51568e+10|9.4137e+10|0|0|34359738368|425607168|425607168|343597312|1|16777216|100|16384|16777216|1|4|0|0
5.5328e+10|5.53237e+11|16.7053|5.51779e+11|7.015e+10|8.00176e+10|0|0|34359738368|352834688|352834688|343597312|1|8388608|100|16384|16777216|1|4|0|0
3.40725e+11|3.40721e+12|102.876|3.40554e+12|6.47053e+11|1.12247e+12|0|0|34359738368|2701958656|2701958656|343597312|1|4294967296|200|16384|16777216|1|4|0|0
2.8591e+11|2.85905e+12|86.3254|2.85751e+12|4.60403e+11|5.04033e+11|0|0|34359738368|1283129728|1283129728|343597312|1|2147483648|200|16384|16777216|1|4|0|0
2.62613e+11|2.62608e+12|79.2912|2.62462e+12|3.81859e+11|3.98046e+11|0|0|34359738368|999622272|999622272|343597312|1|1073741824|200|16384|16777216|1|4|0|0
2.32793e+11|2.32788e+12|70.2877|2.32638e+12|3.50649e+11|4.3596e+11|0|0|34359738368|1082917632|1082917632|343597312|1|536870912|200|16384|16777216|1|4|0|0
1.74419e+11|1.74415e+12|52.6627|1.74258e+12|2.71583e+11|3.69065e+11|0|0|34359738368|919311232|919311232|343597312|1|268435456|200|16384|16777216|1|4|0|0
5.43186e+11|5.43181e+12|164.005|5.43015e+12|8.37266e+11|3.99907e+12|0|0|34359738368|9894521728|9894521728|343597312|1|134217728|200|16384|16777216|1|4|0|0
1.18856e+11|1.18851e+12|35.8863|1.18708e+12|1.91647e+11|5.19272e+11|0|0|34359738368|1307418624|1307418624|343597312|1|67108864|200|16384|16777216|1|4|0|0
1.15645e+11|1.15641e+12|34.917|1.1553e+12|1.96226e+11|6.04247e+11|0|0|34359738368|1555131648|1555131648|343597312|1|33554432|200|16384|16777216|1|4|0|0
6.10486e+10|6.10444e+11|18.4325|6.09401e+11|8.42243e+10|1.84882e+11|0|0|34359738368|425607168|425607168|343597312|1|16777216|200|16384|16777216|1|4|0|0
6.225e+10|6.22458e+11|18.7953|6.2102e+11|7.03094e+10|1.58182e+11|0|0|34359738368|352834688|352834688|343597312|1|8388608|200|16384|16777216|1|4|0|0
5.33635e+11|5.33631e+12|161.122|5.33457e+12|4.75861e+11|9.23441e+11|0|0|34359738368|1169396224|1169396224|343597312|1|4294967296|400|16384|16777216|1|4|0|0
3.03643e+11|3.03639e+12|91.6796|3.03477e+12|3.92456e+11|9.93792e+11|0|0|34359738368|1283129728|1283129728|343597312|1|2147483648|400|16384|16777216|1|4|0|0
2.72204e+11|2.722e+12|82.1872|2.72062e+12|1.91308e+11|3.35396e+11|0|0|34359738368|384181248|384181248|343597312|1|1073741824|400|16384|16777216|1|4|0|0
2.4953e+11|2.49525e+12|75.3411|2.49366e+12|3.09744e+11|8.66066e+11|0|0|34359738368|1082917632|1082917632|343597312|1|536870912|400|16384|16777216|1|4|0|0
5.40053e+11|5.40047e+12|163.059|5.39876e+12|5.15949e+11|3.93859e+12|0|0|34359738368|4653267456|4653267456|343597312|1|268435456|400|16384|16777216|1|4|0|0
2.28869e+11|2.28864e+12|69.1029|2.28694e+12|2.71845e+11|1.04548e+12|0|0|34359738368|1322315392|1322315392|343597312|1|134217728|400|16384|16777216|1|4|0|0
2.025e+11|2.02496e+12|61.1414|2.02331e+12|2.10365e+11|1.15445e+12|0|0|34359738368|1454520320|1454520320|343597312|1|67108864|400|16384|16777216|1|4|0|0
2.79496e+11|2.79491e+12|84.3887|2.79334e+12|2.62156e+11|2.08799e+12|0|0|34359738368|2568575744|2568575744|343597312|1|33554432|400|16384|16777216|1|4|0|0
1.02587e+11|1.02583e+12|30.9744|1.02434e+12|8.22452e+10|3.45702e+11|0|0|34359738368|397228928|397228928|343597312|1|16777216|400|16384|16777216|1|4|0|0
7.64995e+10|7.64954e+11|23.0977|7.63547e+11|6.9825e+10|3.10361e+11|0|0|34359738368|352834688|352834688|343597312|1|8388608|400|16384|16777216|1|4|0|0
5.54144e+11|5.54139e+12|167.314|5.53964e+12|4.05665e+11|1.82095e+12|0|0|34359738368|1169396224|1169396224|343597312|1|4294967296|800|16384|16777216|1|4|0|0
6.79971e+11|6.79965e+12|205.305|6.79784e+12|5.3116e+11|4.94596e+12|0|0|34359738368|2971082752|2971082752|343597312|1|2147483648|800|16384|16777216|1|4|0|0
2.72102e+11|2.72097e+12|82.1563|2.7194e+12|2.04959e+11|6.59296e+11|0|0|34359738368|384181248|384181248|343597312|1|1073741824|800|16384|16777216|1|4|0|0
2.54965e+11|2.54961e+12|76.9823|2.548e+12|1.93531e+11|6.44824e+11|0|0|34359738368|374296960|374296960|343597312|1|536870912|800|16384|16777216|1|4|0|0
2.25289e+11|2.25285e+12|68.022|2.25132e+12|1.75018e+11|6.50863e+11|0|0|34359738368|371039232|371039232|343597312|1|268435456|800|16384|16777216|1|4|0|0
1.19356e+12|1.19356e+13|360.375|1.19338e+13|6.15523e+11|1.01655e+13|0|0|34359738368|6009776768|6009776768|343597312|1|134217728|800|16384|16777216|1|4|0|0
9.47551e+11|9.47545e+12|286.096|9.47361e+12|4.74301e+11|8.30816e+12|0|0|34359738368|4945471488|4945471488|343597312|1|67108864|800|16384|16777216|1|4|0|0
1.25007e+11|1.25003e+12|37.7436|1.24858e+12|8.94772e+10|6.88292e+11|0|0|34359738368|400042240|400042240|343597312|1|33554432|800|16384|16777216|1|4|0|0
1.35735e+11|1.35731e+12|40.9827|1.35578e+12|8.21928e+10|6.89428e+11|0|0|34359738368|397228928|397228928|343597312|1|16777216|800|16384|16777216|1|4|0|0
1.07455e+11|1.07451e+12|32.444|1.07306e+12|6.95457e+10|6.2331e+11|0|0|34359738368|352834688|352834688|343597312|1|8388608|800|16384|16777216|1|4|0|0
