Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
4.9828e+09|4.96522e+10|1.50447|4.50364e+10|4.87638e+08|0|4.85346e+09|3.38076e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|1|469762048|469762048
4.60853e+09|4.58457e+10|1.39146|3.91934e+10|4.74222e+08|0|8.83113e+09|4.41511e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|2|570157738|570157738
4.37492e+09|4.33103e+10|1.32093|3.75721e+10|4.65487e+08|0|1.23709e+10|3.26011e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|4|540317013|540317013
4.55907e+09|4.50134e+10|1.37653|3.88871e+10|4.34539e+08|0|1.68488e+10|3.7608e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|6|570425344|570425344
4.5511e+09|4.47756e+10|1.37412|3.8919e+10|4.44e+08|0|2.06571e+10|2.94234e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|8|570425344|570425344
4.68452e+09|4.55787e+10|1.41441|3.89694e+10|4.36048e+08|0|3.62336e+10|2.90265e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|16|570425344|570425344
7.40722e+09|7.39166e+10|2.23648|5.16587e+10|3.70599e+10|0|5.54428e+09|1.73784e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|1|573407232|573407232
6.69473e+09|6.672e+10|2.02135|3.44979e+10|3.73246e+10|0|9.07842e+09|2.5382e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|2|766967808|766967808
6.44727e+09|6.40551e+10|1.94664|2.89713e+10|3.78811e+10|0|1.47327e+10|2.79948e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|4|801647274|801647274
6.36642e+09|6.31082e+10|1.92223|2.84805e+10|3.82248e+10|0|2.03862e+10|2.87186e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|6|809588053|809588053
6.43955e+09|6.36926e+10|1.94431|2.9075e+10|3.81009e+10|0|2.61249e+10|2.84127e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|8|805481130|805481130
6.65403e+09|6.53101e+10|2.00907|3.13456e+10|3.78147e+10|0|4.7219e+10|2.71411e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|16|788529152|788529152
9.76576e+09|9.75055e+10|2.9486|5.62771e+10|6.49074e+10|0|6.02491e+09|3.594e+10|1073741824|107730176|107730176|107374080|1|536870912|0|16384|16777216|10|1|643142997|643142997
8.91072e+09|8.88768e+10|2.69043|2.84771e+10|6.56279e+10|0|1.02928e+10|5.36872e+10|1073741824|107730176|107730176|107374080|1|536870912|0|16384|16777216|10|2|872415232|872415232
8.028e+09|7.98548e+10|2.42391|4.52569e+09|6.6308e+10|0|1.42473e+10|6.85699e+10|1073741824|107730176|107730176|107374080|1|536870912|0|16384|16777216|10|4|1041924096|1041924096
8.11818e+09|8.06423e+10|2.45114|6.72675e+09|6.62861e+10|0|1.48828e+10|6.72486e+10|1073741824|107730176|107730176|107374080|1|536870912|0|16384|16777216|10|6|1025654784|1025654784
8.21283e+09|8.13838e+10|2.47972|8.85647e+09|6.62967e+10|0|1.60277e+10|6.5923e+10|1073741824|107730176|107730176|107374080|1|536870912|0|16384|16777216|10|8|1010925568|1010925568
8.57645e+09|8.44532e+10|2.58951|1.79056e+10|6.59339e+10|0|2.54112e+10|6.0099e+10|1073741824|107730176|107730176|107374080|1|536870912|0|16384|16777216|10|16|946077696|946077696
1.22579e+10|1.22433e+11|3.70106|6.02955e+10|9.11283e+10|0|6.43731e+09|5.64058e+10|1073741824|161382272|161382272|161061248|1|536870912|0|16384|16777216|15|1|696292693|696292693
1.05987e+10|1.05776e+11|3.2001|2.22801e+09|9.16025e+10|0|9.24036e+09|9.67652e+10|1073741824|161382272|161382272|161061248|1|536870912|0|16384|16777216|15|2|1060978688|1060978688
1.07241e+10|1.06878e+11|3.23795|4.3939e+09|9.20273e+10|0|9.70699e+09|9.57092e+10|1073741824|161382272|161382272|161061248|1|536870912|0|16384|16777216|15|4|1048330240|1048330240
1.07974e+10|1.07436e+11|3.26008|6.69672e+09|9.18605e+10|0|1.06991e+10|9.39233e+10|1073741824|161382272|161382272|161061248|1|536870912|0|16384|16777216|15|6|1034354688|1034354688
1.08558e+10|1.0783e+11|3.27772|8.94321e+09|9.16073e+10|0|1.20808e+10|9.21029e+10|1073741824|161382272|161382272|161061248|1|536870912|0|16384|16777216|15|8|1021498709|1021498709
1.11436e+10|1.10165e+11|3.36462|1.77041e+10|9.14335e+10|0|2.23209e+10|8.5903e+10|1073741824|161382272|161382272|161061248|1|536870912|0|16384|16777216|15|16|970173098|970173098
1.52849e+10|1.52727e+11|4.61499|6.42558e+10|1.20933e+11|0|6.81681e+09|8.25354e+10|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|1|746313045|746313045
1.32482e+10|1.32239e+11|4.00007|2.24756e+09|1.1638e+11|0|9.35633e+09|1.23113e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|2|1063152298|1063152298
1.33531e+10|1.33139e+11|4.03173|4.39723e+09|1.16847e+11|0|9.78657e+09|1.21901e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|4|1052579157|1052579157
1.33658e+10|1.33151e+11|4.03558|6.61691e+09|1.16307e+11|0|1.07156e+10|1.19727e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|6|1041132202|1041132202
1.35014e+10|1.3428e+11|4.0765|8.83316e+09|1.16854e+11|0|1.21346e+10|1.18671e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|8|1030116693|1030116693
1.36481e+10|1.35314e+11|4.1208|1.75906e+10|1.15781e+11|0|2.24156e+10|1.11109e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|16|985721514|985721514
1.72059e+10|1.71914e+11|5.19502|6.58985e+10|1.40452e+11|0|7.03554e+09|9.93764e+10|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|1|769261568|769261568
1.58546e+10|1.58315e+11|4.78703|2.23461e+09|1.4098e+11|0|9.32186e+09|1.49218e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|2|1064736085|1064736085
1.59083e+10|1.58693e+11|4.80322|4.43365e+09|1.4093e+11|0|9.75714e+09|1.4744e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|4|1054878378|1054878378
1.59461e+10|1.58912e+11|4.81465|6.63856e+09|1.40655e+11|0|1.07088e+10|1.45469e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|6|1045430272|1045430272
1.60058e+10|1.59419e+11|4.83269|8.76236e+09|1.40629e+11|0|1.2166e+10|1.43829e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|8|1035998549|1035998549
1.627e+10|1.61439e+11|4.91245|1.7616e+10|1.40697e+11|0|2.26061e+10|1.37041e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|16|997747370|997747370
1.95976e+10|1.95817e+11|5.91715|6.91975e+10|1.64413e+11|0|7.26165e+09|1.20658e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|1|790298624|790298624
1.84765e+10|1.84517e+11|5.57867|2.25183e+09|1.65472e+11|0|9.53825e+09|1.75242e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|2|1065773738|1065773738
1.84624e+10|1.84227e+11|5.57441|4.39575e+09|1.64855e+11|0|9.8852e+09|1.72929e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|4|1057248597|1057248597
1.85422e+10|1.84884e+11|5.59849|6.64228e+09|1.65155e+11|0|1.07428e+10|1.71397e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|6|1048717994|1048717994
1.86084e+10|1.85334e+11|5.61847|8.79567e+09|1.6515e+11|0|1.22388e+10|1.69652e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|8|1040340309|1040340309
1.87954e+10|1.86709e+11|5.67494|1.75776e+10|1.64767e+11|0|2.26992e+10|1.6229e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|16|1006769493|1006769493
2.20978e+10|2.20836e+11|6.67205|7.03822e+10|1.8901e+11|0|7.37421e+09|1.44122e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|1|813787818|813787818
2.10245e+10|2.1002e+11|6.34797|2.23989e+09|1.89619e+11|0|9.43923e+09|2.00867e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|2|1066379946|1066379946
2.10656e+10|2.10249e+11|6.36038|4.38821e+09|1.89514e+11|0|9.90246e+09|1.98996e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|4|1058968917|1058968917
2.11784e+10|2.11227e+11|6.39443|6.62586e+09|1.89923e+11|0|1.09753e+10|1.97633e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|6|1051443200|1051443200
2.11818e+10|2.11078e+11|6.39548|8.82063e+09|1.89528e+11|0|1.2306e+10|1.95354e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|8|1043791872|1043791872
2.13556e+10|2.12335e+11|6.44795|1.75016e+10|1.89285e+11|0|2.28367e+10|1.87956e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|16|1013590698|1013590698
2.46206e+10|2.46039e+11|7.43375|7.2148e+10|2.13266e+11|0|7.55678e+09|1.67335e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|1|832230741|832230741
2.35584e+10|2.35337e+11|7.11304|2.17845e+09|2.13534e+11|0|9.31554e+09|2.26339e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|2|1067510442|1067510442
2.3615e+10|2.35759e+11|7.13013|4.38062e+09|2.13532e+11|0|9.84787e+09|2.24495e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|4|1060421632|1060421632
2.37033e+10|2.36488e+11|7.15678|6.53291e+09|2.13883e+11|0|1.09481e+10|2.22984e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|6|1053791573|1053791573
2.37605e+10|2.36908e+11|7.17405|8.82115e+09|2.13937e+11|0|1.23984e+10|2.21097e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|8|1046582613|1046582613
2.3831e+10|2.3707e+11|7.19535|1.73139e+10|2.12911e+11|0|2.26979e+10|2.12929e+11|1073741824|429725312|429725312|429496704|1|536870912|0|16384|16777216|40|16|1019472554|1019472554
2.72179e+10|2.72033e+11|8.21796|7.30999e+10|2.3784e+11|0|7.67987e+09|1.91929e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|1|851678549|851678549
2.60656e+10|2.60433e+11|7.87004|2.19328e+09|2.37224e+11|0|9.4299e+09|2.51401e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|2|1067739818|1067739818
2.61403e+10|2.61071e+11|7.8926|4.36399e+09|2.37463e+11|0|1.00577e+10|2.49725e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|4|1061475669|1061475669
2.6208e+10|2.61519e+11|7.91304|6.52348e+09|2.37552e+11|0|1.09779e+10|2.48064e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|6|1055604736|1055604736
2.62512e+10|2.6186e+11|7.9261|8.77582e+09|2.37541e+11|0|1.24064e+10|2.46142e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|8|1049209514|1049209514
2.63486e+10|2.62318e+11|7.95549|1.73686e+10|2.36857e+11|0|2.28332e+10|2.38092e+11|1073741824|483398272|483398272|483183744|1|536870912|0|16384|16777216|45|16|1024103765|1024103765
