Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
3.23212e+09|3.21565e+10|0.975881|3.11316e+10|3.71571e+08|0|3.09126e+09|3.27596e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|1|603979776|603979776
3.22382e+09|3.19886e+10|0.973375|3.00731e+10|3.67143e+08|0|6.2193e+09|3.64965e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|2|623504042|623504042
3.32851e+09|3.28172e+10|1.00498|2.94501e+10|3.66525e+08|0|1.24761e+10|4.015e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|4|637632512|637632512
3.4369e+09|3.38018e+10|1.03771|2.85357e+10|3.68522e+08|0|1.87829e+10|3.89328e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|6|654311424|654311424
3.56884e+09|3.49119e+10|1.07755|2.76052e+10|3.77145e+08|0|2.54623e+10|3.85202e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|8|671088640|671088640
3.83341e+09|3.7036e+10|1.15743|2.5534e+10|4.08728e+08|0|4.93744e+10|5.62508e+08|1073741824|386944|386944|0|1|536870912|0|16384|16777216|0|16|705161898|705161898
5.70492e+09|5.68963e+10|1.7225|3.52155e+10|3.30749e+10|0|3.49883e+09|2.06705e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|1|680804352|680804352
4.5751e+09|4.5519e+10|1.38137|1.80705e+10|3.11276e+10|0|6.17273e+09|2.6529e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|2|874130090|874130090
4.63082e+09|4.59221e+10|1.39819|1.78709e+10|3.12357e+10|0|1.46751e+10|2.6686e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|4|879045290|879045290
4.6905e+09|4.63605e+10|1.41621|1.74657e+10|3.10115e+10|0|2.29739e+10|2.66144e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|6|882223786|882223786
4.7886e+09|4.71341e+10|1.44583|1.69445e+10|3.13181e+10|0|3.10536e+10|2.72155e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|8|889192448|889192448
4.96187e+09|4.83947e+10|1.49815|1.56781e+10|3.11245e+10|0|6.22832e+10|2.76043e+10|1073741824|54041344|54041344|53687040|1|536870912|0|16384|16777216|5|16|903779669|903779669
