Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
4.75164e+09|4.73775e+10|1.43467|3.61671e+10|4.09271e+10|0|3.95859e+09|6.29852e+09|766711125|8177401|0|325945517|0|536870912|0|16384|16777216|1|1|766711125|766711125
4.17848e+09|4.15748e+10|1.26162|3.11721e+10|8.01936e+09|0|3.40407e+09|6.33713e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|1|739803136|739803136
3.17886e+09|3.17212e+10|0.959801|2.16214e+10|2.72929e+10|0|2.27507e+09|7.29514e+09|857593173|9149632|0|236035701|0|536870912|0|16384|16777216|1|1|857593173|857593173
2.94683e+09|2.93947e+10|0.889742|1.96759e+10|7.47926e+09|0|2.12511e+09|6.86937e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|1|811581440|811581440
4.37331e+09|4.35167e+10|1.32044|3.03346e+10|3.68034e+10|0|6.0146e+09|8.09713e+09|805306368|8590939|0|287763813|0|536870912|0|16384|16777216|1|2|805306368|805306368
3.93382e+09|3.91144e+10|1.18775|2.68116e+10|9.07506e+09|0|5.28605e+09|7.79934e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|2|771751936|771751936
2.8194e+09|2.80893e+10|0.851268|1.72174e+10|2.31264e+10|0|3.53159e+09|7.59246e+09|900868778|9608780|0|193219243|0|536870912|0|16384|16777216|1|2|900868778|900868778
2.65632e+09|2.6456e+10|0.802029|1.63796e+10|7.34042e+09|0|3.28739e+09|7.11169e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|2|855638016|855638016
4.28626e+09|4.25719e+10|1.29416|3.04254e+10|3.68036e+10|0|8.14124e+09|7.90631e+09|809866581|8638231|0|283250891|0|536870912|0|16384|16777216|1|3|809866581|809866581
3.86328e+09|3.83275e+10|1.16645|2.57995e+10|9.05296e+09|0|7.02343e+09|7.89443e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|3|785967786|785967786
2.6394e+09|2.62814e+10|0.79692|1.63659e+10|2.21073e+10|0|4.64218e+09|7.34004e+09|907760981|9682343|0|186400604|0|536870912|0|16384|16777216|1|3|907760981|907760981
2.56953e+09|2.55569e+10|0.775824|1.54037e+10|7.27508e+09|0|4.41586e+09|7.14628e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|3|870307157|870307157
4.24075e+09|4.20175e+10|1.28042|3.02637e+10|3.62425e+10|0|1.01244e+10|7.50449e+09|813334528|8675832|0|279820546|0|536870912|0|16384|16777216|1|4|813334528|813334528
3.9062e+09|3.86717e+10|1.17941|2.62738e+10|8.76875e+09|0|8.88842e+09|7.6184e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|4|788354389|788354389
2.65758e+09|2.64202e+10|0.80241|1.55973e+10|2.15335e+10|0|5.83979e+09|7.68917e+09|915712682|9769230|0|178535789|0|536870912|0|16384|16777216|1|4|915712682|915712682
2.48723e+09|2.47145e+10|0.750975|1.51454e+10|7.23434e+09|0|5.52973e+09|7.08114e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|4|872912213|872912213
4.38429e+09|4.34082e+10|1.32376|3.05619e+10|3.66249e+10|0|1.23036e+10|7.73334e+09|816857088|8713865|0|276336019|0|536870912|0|16384|16777216|1|5|816857088|816857088
3.87074e+09|3.82152e+10|1.1687|2.64572e+10|8.57969e+09|0|1.05536e+10|7.38655e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|5|791161514|791161514
2.6697e+09|2.65326e+10|0.806068|1.53583e+10|2.14108e+10|0|7.10614e+09|7.79402e+09|917935445|9791503|0|176335300|0|536870912|0|16384|16777216|1|5|917935445|917935445
2.5299e+09|2.51193e+10|0.763859|1.45075e+10|7.45698e+09|0|6.64796e+09|7.51527e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|5|882300245|882300245
4.26602e+09|4.20917e+10|1.28805|3.02014e+10|3.62634e+10|0|1.4176e+10|7.58919e+09|815803050|8701742|0|277377933|0|536870912|0|16384|16777216|1|6|815803050|815803050
3.84913e+09|3.79684e+10|1.16218|2.59883e+10|8.76939e+09|0|1.23723e+10|7.64723e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|6|791396352|791396352
